SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
8GUMP592,Pennsylvania modern: Charles Demuth of Lancaster,Books,"Fahlman, Betsy; Demuth, Charles; Carnegie Institute; Heritage Center of Lancaster County; Philadelph",0-87633-054-5,,1983,Phildelphia Museum of Art,,ARTIST - D,"Philadelphia, Pa.","Artists; Biography; Demuth, Charles; Exhibitions; Lancaster (Pa.); Pennsylvania",,,1983,,,74,
VMURKKWS,Depression modern: the thirties style in America,Books,"Greif, Martin",0-87663-257-6,,1975,Universe Books,,AMERICAN,New York,"20th century; Art, American; Decoration and ornament; Depression modern style",,,1975,,,192,
8NV6SAAA,Mary Cassatt: a private world: illustrations from the National Gallery of Art,Books,0,0-87663-616-4,,1991,Universe,,Artist-C,"New York, NY","Cassatt, Mary; Catalogs; National Gallery of Art (U.S.)",,,1991,,,80,
VGMHLC8S,California painters: new work,Books,"Hopkins, Henry; McHugh, Jim",0-87701-593-7,,1989,Chronicle Books,,MODERN,San Francisco,"20th century; Painting, American; California",,,1989,,,143,
LT7VNZDP,Clay today: contemporary ceramists and their work: a catalogue of the Howard and Gwen Laurie Smits Collection at the Los Angeles County Museum of Art,Books,0,0-87701-756-5,,1990,The Museum ; Chronicle Books,,DECORATIVE ARTS,"Los Angeles, Calif. : San Francisco","20th century; Art collections; Private collections; Catalogs; California Los Angeles; Los Angeles County Museum of Art; Ceramic sculpture, American; Ceramic sculpture; Ceramic sculpture, English; Smits, Gwen Laurie; Smits, Howard",,,1990,,,239,
NEVQ3WR7,Fairfield Porter (1907-1975): realist painter in an age of abstraction,Books,"Porter, Fairfield; Ashbery, John; Moffett, Kenworth; Myers, John Bernard; Museum of Fine Arts, Bosto",0-87846-211-2,,1982,Museum of Fine Arts,,ARTIST - P,"Boston, Mass","Exhibitions; Porter, Fairfield",,,1982,,,107,
AFBYSV2F,"A new world: masterpieces of American painting, 1760-1910",Books,"Stebbins, Theodore E.; Fairbrother, Trevor J.; Troyen, Carol; Corcoran Gallery of Art; Grand Palais ",0-87846-234-1,,1983,Museum of Fine Arts,,AMERICAN,"Boston, Mass","Exhibitions; Painting, American",,,1983,,,351,
YBTJUHWB,Goya and the spirit of enlightenment,Books,"Goya, Francisco; Sayre, Eleanor A.; Pérez Sánchez, Alfonso E.; Metropolitan Museum of Art (New York,",0-87846-299-6,,1989,Museum of Fine Arts,,ARTIST - G,Boston,"Exhibitions; Goya, Francisco",,,1989,,,407,
4SSY6LKZ,Nubia: ancient kingdoms of Africa,Books,"Haynes, Joyce L.; Museum of Fine Arts, Boston",0-87846-362-3,,1992,Museum of Fine Arts,,AFRICAN,Boston,History; Civilization; Antiquities; Nubia,,,1992,,,62,
DQ9PG2WZ,Ode to Nature: Flowers and Landscapes of the Rookwood Pottery 1880-1940,Books,"Trapp, Kenneth R.",0-87905-076-4,,1980,The Jordan-Volpe Gallery,,DECORATIVE ARTS,,0,,,1980,,,,
Z2DS8FJH,Great flower painters: four centuries of floral art,Books,"Mitchell, Peter",0-87951-008-0,,1973,Overlook Press,,GENERAL HISTORY,"Woodstock, N.Y",Painters; Flowers in art; Still-life painting,,,1973,,,272,
SAX4BFSD,The Columbia History of the World,Books,"Garraty, John A. and Gay",0-88029-004-8,,1983,Harper & Row,,GENERAL HISTORY,,0,,,1983,,,,
PNDTLDPX,"Directions in American painting, 1875-1925: works from the collection of Dr. and Mrs. John J. McDonough",Books,"Rodriguez Roque, Oswaldo; Carnegie Institute",0-88039-003-4,,1982,"Museum of Art, Carnegie Institute",,AMERICAN,Pittsburgh,"19th century; Exhibitions; 20th century; Painting, American; Art collections; McDonough, John J",,,1982,,,112,
GE2AVYEC,From Vienna to Pittsburgh: the art of Henry Koerner,Books,"Stavitsky, Gail; Adams, Henry; Koerner, Henry; Carnegie Institute",0-88039-005-0,,1983,"Museum of Art, Carnegie Institute : Distributed by the University of Pittsburgh Press",,Artist K,Pittsburgh,"Exhibitions; Koerner, Henry",,,1983,,,80,
N8AXA5UN,Joan Witek,Books,"Caldwell, John; Witek, Joan; Carnegie Institute",0-88039-007-7,,1984,"Museum of Art, Carnegie Institute",,ARTIST - W,Pittsburgh,"Exhibitions; Witek, Joan",,,1984,,,36,
GH6ID4SI,"American drawings and watercolors in the Museum of Art, Carnegie Institute",Books,0,0-88039-009-3,,1985,The Museum : Distributed by the University of Pittsburgh Press,,CMoA CATALOGUE,"Pittsburgh, Pa","Drawing; Catalogs; Pennsylvania Pittsburgh; Drawing, American; Watercolor painting, American; Museum of Art; Carnegie Institute; Watercolor painting",,,1985,,,314,
FS9CY3K2,Pittsburgh Photography: A New Generation,Books,"Caldwell, John and Nill",0-88039-015-8,,1987,Carnegie Museum of Art,,PHOTOGRAPHY,,0,,,1987,,,,
TZA6AXZH,American landscape video: the electronic grove,Books,0,0-88039-017-4,,1988,Carnegie Museum of Art,,VIDEO,"Pittsburgh, Pa",Exhibitions; United States; Landscapes in art; Installations (Art); Video art,,,1988,,,128,
QHGZXWVH,Carnegie International 1991: Volume 1,Books,"Cooke, Lynne and Francis",0-88039-023-9,,1991,Carnegie Museum of Art,,CI CATALOG,,0,,,1991,,,,
KLUCP96R,Carnegie International 1991: Volume 2,Books,"Cooke, Lynne and Francis",0-88039-023-9,,1991,Carnegie Museum of Art,,CI CATALOG,,0,,,1991,,,,
GEAZH52E,The Beal Collection of American art,Books,"Adams, Henry",0-88039-025-5,,1994,Carnegie Museum of Art,,AMERICAN,"Pittsburgh, Pa","19th century; Exhibitions; 20th century; United States; Art; Art collections; Modernism (Art); Pennsylvania Pittsburgh; Art, American; Carnegie Museum of Art; Beal, James H; Beal, Rebecca J; Private collections Pennsylvania Pittsburgh",,,1994,,,112,
9NQL2LJM,The Beal Collection of American art,Books,"Adams, Henry",0-88039-025-5,,1994,Carnegie Museum of Art,,CMoA CATALOGUE,"Pittsburgh, Pa","19th century; Exhibitions; 20th century; United States; Art; Art collections; Modernism (Art); Pennsylvania Pittsburgh; Art, American; Carnegie Museum of Art; Beal, James H; Beal, Rebecca J; Private collections Pennsylvania Pittsburgh",,,1994,,,112,
K7RT2RDW,The Beal Collection of American art,Books,"Adams, Henry",0-88039-025-5,,1994,Carnegie Museum of Art,,NON-CIRCULATING REFERENCE,"Pittsburgh, Pa","19th century; Exhibitions; 20th century; United States; Art; Art collections; Modernism (Art); Pennsylvania Pittsburgh; Art, American; Carnegie Museum of Art; Beal, James H; Beal, Rebecca J; Private collections Pennsylvania Pittsburgh; Baziotes - Blu",,,1994,,,112,
YHTFM6MR,The Andy Warhol Museum,Books,0,0-88039-026-3,,1994,The Museum ; Distributed Art Publishers ; Cantz Publishers,,CATALOGUE,Pittsburgh : New York : Stuttgart,"Archives; Warhol, Andy; Andy Warhol Museum",,,1994,,,208,
GKFILD4G,The Carnegie Museum of Art Collection Highlights,Books,"Belnap, Gillian",0-88039-027-1,,1995,Carnegie Museum of Art,,NON-CIRCULATING REFERENCE,,0,,,1995,,,,
NLTAMYH2,A hidden treasure: Japanese prints from the Carnegie Museum of Art,Books,0,0-88039-029-8,,1996,The Museum,,JAPANESE,"Pittsburgh, Pa","Exhibitions; Pennsylvania Pittsburgh; Color prints, Japanese; Edo period, 1600-1868; Ukiyoe; Carnegie Museum of Art; 1868-; Color prints",,,1996,,,167,
28BI6EED,Celebrating the First 100 Years of The Carnegie in Pittsburgh: 1895-1995,Books,"Kinard, Agnes Dodds",0-88039-030-1,,1995,Hoechstetter Printing Company,,NON-CIRCULATING REFERENCE,,0,,,1995,,,,
IDN388KG,"Charles H. Carpenter, Jr: the odyssey of a collector",Books,"Carpenter, Charles Hope; Larson, Kay; Carnegie Museum of Art",0-88039-032-8,,1996,Carnegie Museum of Art,,CMoA CATALOGUE,"Pittsburgh, Pa","United States; Art; Collectors and collecting Biography; Carpenter, Charles Hope",,,1996,,,159,
QNKUWKVJ,Pittsburgh revealed: photographs since 1850,Books,0,0-88039-034-4,,1997,Carnegie Museum of Art,,GENERAL CMoA/PGH,Pittsburgh,19th century; 20th century; Photographers; Pennsylvania Pittsburgh; History Exhibitions; Photography; Pittsburgh (Pa.); Pictorial works Exhibitions,,,1997,,,210,
YBZIQQTT,CI:99/00/V.01: Carnegie International 1999/2000,Books,"Grynsztejn, Madeleine",0-88039-037-9,,1999,Carnegie Museum of Art,,CI CATALOG,,0,,,1999,,,,
8V5G9KSG,CI:99/00/V.02: Carnegie International 1999/2000,Books,"Grynsztejn, Madeleine",0-88039-037-9,,1999,Carnegie Museum of Art,,CI CATALOG,,0,,,1999,,,,
S8XDMBRL,Aluminum by Design,Books,"Nichols, Sarah et al",0-88039-039-5,,2000,Carnegie Museum of Art,,CMoA CATALOGUE,,0,,,2000,,,,
6RIUQ59C,"Folds, Blobs & Boxes: Architecture in the Digital Era",Books,"Rosa, Joseph",0-88039-041-7,,2001,Heinz Architectural Center,,CMoA CATALOGUE,,0,,,2001,,,,
Y6WEQ4T2,Contemporary Directions: Glass from the Maxine and William Block Collection,Books,"Nichols, Sarah and Taragin",0-88039-042-5,,2002,Carnegie Museum of Art,,CMoA CATALOGUE,,0,,,2002,,,,
4PJUXCXF,54th Carnegie International,Books,"Hoptman, Laura",0-88039-044-1,,2004,Carnegie Museum of Art,,CI CATALOG,,0,,,2004,,,,
A7FDNC9Z,Michael Maltzan: alternate ground,Books,"Ryan, Raymund; Ai, Weiwei; Maltzan, Michael; Zardini, Mirko; Heinz Architectural Center; Michael Mal",0-88039-045-X,,2005,"Heinz Architectural Center, Carnegie Museum of Art",,ARCHITECTURE,"Pittsburgh, Pa","History; Exhibitions; 20th century; United States; Architecture; 21st century; Designs and plans Exhibitions; Maltzan, Michael; Michael Maltzan Architecture, Inc",,,2005,,,219,
SX8R42ZA,In the watercolor tradition: British works on paper from the Mellon Bank collection,Books,"Strazdes, Diana J.; Carnegie Museum of Art; Mellon Bank",0-88039-046-8,,1990,Carnegie Museum of Art,,CMA Catalog,"Pittsburgh, Pa","Exhibitions; Art collections Exhibitions; Pennsylvania Pittsburgh; Private collections Exhibitions; Watercolor painting; Mellon Bank; Watercolor painting, British",,,1990,,,78,
3EWVYE5S,Modern Japanese prints: the twentieth century,Books,0,0-88039-049-2,,2009,Carnegie Museum of Art,,JAPANESE,"Pittsburgh, Pa","20th century; Catalogs; Pennsylvania Pittsburgh; Prints; Carnegie Museum of Art; Prints, Japanese",,,2009,,,200,
696X3SY2,"Popular salon of the people: Associated Artists of Pittsburgh, 1910-2006",Books,"Clark, Vicky A.; Associated Artists of Pittsburgh; Carnegie Museum of Art",0-88039-050-6,,2007,Carnegie Museum of Art,,CATALOGUE,"Pittsburgh, Pa","Exhibitions; 20th century; Pennsylvania Pittsburgh; Art, American; 21st century; Associated Artists of Pittsburgh",,,2007,,,164,
RY5JPSUD,Decorative arts and design: collection highlights,Books,0,0-88039-052-2,,2009,Carnegie Museum of Art,,NON-CIRCULATING REFERENCE,"Pittsburgh, Pa",Catalogs; Pennsylvania Pittsburgh; Carnegie Museum of Art; Decorative arts,,,2009,,,224,
HNY2A99Y,Carnegie Museum of Art: collection handbook,Books,0,0-88039-067-0,,2021,Carnegie Museum of Art,,CMOA CATALOGS,Pittsburgh,Art; Catalogs; Pennsylvania; Pennsylvania Pittsburgh; Carnegie Museum of Art; Catalogues; Pennsylvanie Pittsburgh; Pittsburgh,,,2021,,,328,
J48IWMDV,Carnegie Museum of Art: collection handbook,Books,0,0-88039-067-0,,2021,Carnegie Museum of Art,,CMOA CATALOGS,Pittsburgh,Art; Catalogs; Pennsylvania; Pennsylvania Pittsburgh; Carnegie Museum of Art; Catalogues; Pennsylvanie Pittsburgh; Pittsburgh,,,2021,,,328,
57ICEH5F,Dawn of a new era: Editor: Maurice Ashley,Books,0,0-88225-062-0,,1974,Newsweek Books,,MEDIEVAL,New York,Middle Ages,Milestones of history,Rev. and expanded ed.,1974,,,160,
IQW8NKWW,"Modern painting, from 1800 to the present",Books,"Picon, Gaëtan",0-88225-113-9,,1974,Newsweek Books,,MODERN,New York,"History; 19th century; 20th century; Painting, Modern",World of culture,,1974,,,192,
677ZZCV9,Treasures of the Nile: art of the temples and tombs of Egypt,Books,"Mallākh, Kamāl; Bianchi, Robert Steven; La Farge, Henry Adams",0-88225-293-3,,1980,Newsweek,,ANCIENT,New York,"Civilization; Antiquities; Art, Egyptian; Egypt; To 332 B.C",,,1980,,,171,
BHFVM5WZ,Sepphoris in Galilee: crosscurrents of culture,Books,0,0-88259-971-2,,1996,North Carolina Museum of Art ; Distributed by Eisenbrauns,,ANCIENT,"Raleigh, N.C. : Winona Lake, Ind",Excavations (Archaeology); Israel Sepphoris (Extinct city); Sepphoris (Extinct city),,,1996,,,240,
2RWYAUVS,Jewish Art,Books,"Grossman, Grace Cohen",0-88363-361-2,,1995,Beaux Arts Editions,,GENERAL HISTORY,,0,,,1995,,,,
DQ4M6XQ9,French Painting,Books,"Stuckey, Charles F.",0-88363-591-7,,1991,"Hugh Lauter Levin Associates, Inc",,EUROPEAN - FRANCE,,0,,,1991,,,,
3GFNJAHH,"Impressionism and Post-Impressionism: The Hermitage, Leningrad, the Pushkin Museum of Fine Arts, Moscow, and the National Gallery of Art, Washington",Books,With introductions by Marina Bessonova and William James Williams,0-88363-828-2,,1986,"Aurora Art Publishers, Leningrad",,IMPRESSIONISM-H,,0,,,1986,,,,
8NU2FLPG,The Encyclopedia of Decorative Arts: 1890-1940,Books,"Garner, Philippe",0-88365-641-8,,1982,Galahad Books,,DECORATIVE ARTS,,0,,,1982,,,,
Z2VNPYP2,Old master paintings from the collection of Baron Thyssen-Bornemisza,Books,0,0-88397-009-0,,1979,The Foundation,,RENAISSANCE,Washington,Exhibitions; Painting; Painting-Private collections; Sammlung Thyssen-Bornemisza; Switzerland Lugano,,,1979,,,153,
JJXSSSCS,"The Grand Prix de Rome: paintings from the École des beaux-arts, 1797-1863",Books,"Grunchec, Philippe; École nationale supérieure des beaux-arts (France); International Exhibitions Fo",0-88397-075-9,,1984,International Exhibitions Foundation,,EUROPEAN,"Washington, D.C","19th century; Painting, French; Exhibitions; Prix de Rome",,,1984,,,159,
S93XBTUU,Old master drawings from the Albertina,Books,0,0-88397-079-1,,1984,The Foundation,,RENAISSANCE,"Washington, D.C",Drawing; Exhibitions; Graphische Sammlung Albertina,,,1984,,,259,
3N96K8WL,"John Sloan, a printmaker",Books,"Kraft, James; Sloan, John; International Exhibitions Foundation",0-88397-081-3,,1984,The Foundation,,ARTIST - S,"Washington, D.C","Exhibitions; Sloan, John",,,1984,,,67,
5S6ULCVJ,"Siah Armajani: bridges, houses, communal spaces, dictionary for building: October 11-December 1, 1985, Institute of Contemporary Art, University of Pennsylvania",Books,"Kardon, Janet; Armajani, Siah; University of Pennsylvania",0-88454-039-1,,1985,The Institute,,ARTIST-A,"Philadelphia, Pa.?","Armajani, Siah; Exhibitions",,,1985,,,96,
CDGWEXAY,Picturing the world,Books,"Gilmour, John",0-88706-092-7,,1986,State University of New York Press,,GENERAL APPRECIATION/CRITICISM,"Albany, N.Y","20th century; Art, Modern; Art; Philosophy",,,1986,,,214,
BIG3YS73,"Mel Bochner, 1973-1985: exhibition",Books,"Bochner, Mel; King, Elaine A.; Stuckey, Charles F.; Carnegie-Mellon University",0-88748-015-2,,1985,Carnegie-Mellon University Press ; Distributed by Harper and Row,,ARTIST-B,Pittsburgh : New York,"Art, Abstract; Bochner, Mel; Exhibitions; United States",,,1985,,,80,
DVT3KJMJ,David Smith: the formative years: sculptures and drawings from the 1930s and 1940s,Books,"Wilkin, Karen; Smith, David; Edmonton Art Gallery",0-88950-016-9,,1981,Edmonton Art Gallery,,ARTIST - S,"Edmonton, Alta","Exhibitions; Smith, David",,,1981,,,79,
WGXU5D37,The Elder Pliny's Chapters on the History of Art,Books,"Jex-Blake, K. (translator)",0-89005-055-4,,1976,"Ares Publishers, Inc",,ANCIENT,,0,,,1976,,,,
IMRK5J9G,From Impressionism to Modern Art: Symbolism - Expressionism - Fauvism - Cubism - Futurism - Pittura Metalisica - Der Blaue Reiter - Suprematism - Dada - DeStijl,Books,"Clay, Jean",0-89009-354-7,,1978,Chartwell Books,,GENERAL HISTORY,,0,,,1978,,,,
E9MSI6VG,Dutch and Flemish painting,Books,"Courthion, Pierre",0-89009-906-5,,1986,Chartwell Books,,EUROPEAN - NORTHERN,"Secaucus, N.J","Painting, Flemish; Painting, Dutch",,,1986,,,184,
NQY8T3JQ,Built in the U.S.A: American buildings from airports to zoos,Books,0,0-89133-118-2,,1985,Preservation Press,,ARCHITECTURE,"Washington, D.C",United States; Architecture,Building watchers series,,1985,,,189,
92ZA6DWP,"The immortal eight: American painting from Eakins to the Armory show, 1870-1913",Books,"Perlman, Bennard B.",0-89134-017-3,,1979,North Light Publishers ; distributed to the trade by Van Nostrand Reinhold,,AMERICAN,Westport Conn. : New York,"19th century; 20th century; Painting, American; Ashcan school of art; Eight (Group of American artists)",,,1979,,,224,
EI74ZP9I,Masterworks from Stuttgart: the romantic age in German art,Books,"Streicher, Elizabeth P.; Strick, Jeremy; Staatsgalerie Stuttgart",0-89178-041-6,,1995,Saint Louis Art Museum,,EUROPEAN - NORTHERN,"St. Louis, Mo","19th century; Exhibitions; Art; Art, German; Germany Stuttgart; Staatsgalerie Stuttgart",,,1995,,,218,
ACAI7YLC,Handbook of the collection,Books,0,0-89178-087-4,,2004,Saint Louis Art Museum,,CATALOGUE,"St. Louis, Mo",Art; Catalogs; Missouri Saint Louis; St. Louis Art Museum,,,2004,,,328,
4QGA7R3E,Willem de Kooning in East Hampton,Books,"De Kooning, Willem; Waldman, Diane; Solomon R. Guggenheim Museum",0-89207-011-0,,1978,Solomon R. Guggenheim Museum,,ARTIST - D,New York,"De Kooning, Willem; Exhibitions",,,1978,,,151,
IW5CFWGX,"Expressionism, a German intuition, 1905-1920",Books,0,0-89207-024-2,,1980,Solomon R. Guggenheim Foundation,,MODERN,New York,"Exhibitions; 20th century; Germany; Expressionism (Art); Art, German",,,1980,,,336,
RCXT24WN,Pontormo: portrait of a halberdier,Books,"Cropper, Elizabeth",0-89236-366-5,,1997,Getty Museum,,ARTIST - P,Los Angeles,"Criticism and interpretation; Italy; Expertising; Halberdier; J. Paul Getty Museum; Mannerism (Art); Pontormo, Jacopo da; Portrait painting, Italian",Getty Museum studies on art,,1997,,,132,
5M4FPAB3,"Looking at glass: a guide to terms, styles, and techniques",Books,"Hess, Catherine; Wight, Karol",0-89236-750-4,,2005,J. Paul Getty Museum,,Glass,Los Angeles,Dictionaries; Glass,Looking at,,2005,,,95,
C639RZXL,"Let truth be the prejudice: W. Eugene Smith, his life and photographs",Books,"Maddow, Ben; Smith, W. Eugene; Alfred Stieglitz Center; Philadelphia Museum of Art",0-89381-179-3,,1985,Aperture : Viking Penguin [distributor],,Artist S,New York City,"Exhibitions; Biography; United States; Documentary photography; Photographers; Smith, W. Eugene",,,1985,,,240,
G67CYIZC,"20 artists: Yale School of Art, 1950 to 1970",Books,0,0-89467-016-6,,1981,Yale University Art Gallery,,MODERN,New Haven,0,,,1981,,,61,
